liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Enfance;54923;"Le Lynx Nomade";;2015;basegame;8412668162488;19,9;"2 — 8";30;4+;français;;;"Jeu de plateau";;"Observation,Plateau modulaire";Educa;;
Expert;14083;"Les Aventuriers du Rail - Europe";;2005;basegame;0824968717820;40;"2 — 5";40;8+;français;;"Les Aventuriers Du Rail";"Jeu de plateau";"Trains,Transport & voyage";"Collection,Connexion,Objectif secret,Pioche";"Days Of Wonder";"Alan R. Moon";"Julien Delval"
Enfance;29572;"Monsieur Carrousel";;2019;basegame;3760175515729;28;"1 — 6";15;4+;français,anglais,allemand,italien,néerlandais;;;"Jeu de plateau";"Parc d'attractions";"Coopération,Jet De Dés,Mémorisation";Loki;"Sara Zarian";"Apolline Etienne"
Enfance;47450;"Commissaire Souris";;2020;basegame;4010168256375;14,9;"1 — 4";30;5+;français;;;"Jeu de Cartes";Souris;"Enchères,Gestion de main,Mémorisation";Haba;"Markus Nikisch";V.scholz
"Ludique Educatif";8172;Bananagrams;;2009;basegame;0856739001159;23;"2 — 8";20;7+;français;;Bananagrams;"Jeu de lettres";Lettres;"Placement de tuiles";Bananagrams;"Rena Nathanson";
Goodies;24191;"Mysterium - The Meeple";;2016;goodie;;0;"2 — 7";42;10+;français,anglais;Mysterium;Mysterium;"Jeu d'Ambiance";"Enquêtes & Mystères,Fantastique,Fantômes & Esprits";"Communication Restreinte,Coopération,Créativité & Imagination,Déduction,Observation";Libellud;"Oleg Sidorenko,Oleksandr Nevskiy";
Ambiance;37546;"Mysterium Park";;2020;basegame;3558380076568;25;"2 — 6";28;10+;français;Mysterium;"Mysterium Park";"Jeu de Cartes,Jeu de plateau";"Cirque,Enquêtes & Mystères,Fantastique,Fantômes & Esprits,Loisirs";"Association d'idées,Asymétrie,Coopération,Déduction,Énigme,Narration";Libellud;"Oleg Sidorenko,Oleksandr Nevskiy";"M81 Studio,Xavier Collette"
Ambiance;1066;Mysterium;;2015;basegame;3558380029441;40;"2 — 7";42;10+;français;Mysterium;Mysterium;"Jeu d'Ambiance";"Enquêtes & Mystères,Fantastique,Fantômes & Esprits";"Communication Restreinte,Coopération,Créativité & Imagination,Déduction,Observation";Libellud;"Oleg Sidorenko,Oleksandr Nevskiy";"Igor Burlakov,Xavier Collette"
Expert;35222;Oriflamme;;2019;basegame;3616450005020;15;"3 — 5";"15 — 30";10+;français;;Oriflamme;"Jeu de Cartes";Complots,Médiéval,Politique;"Bluff,Combinaison,Gestion de main,Pouvoir";"Studio H";"Adrien Hesling,Axel Hesling";"Tomasz Jedruszek"
Goodies;35868;"Obscurio - Jetons piège";;2019;goodie;;0;"2 — 8";40;10+;français;;Obscurio;"Jeu d'Ambiance,Jeu de Cartes,Jeu de plateau";"Fantastique,Magie & Sorcellerie";Bluff,Déduction,Semi-coopération;Libellud;L'Atelier;"M81 Studio,Xavier Collette"
Ambiance;42298;"Pour la reine";;2020;basegame;3770011038183;15;"2 — 6";"30 — 60";14+;français;;"For the Story";"Jeu d'Ambiance,Jeu de Cartes";Contes,Royauté;"Créativité & Imagination,Narration";"Bragelonne Games";"Alex Roberts";
